Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-01-23 00:00:00-05:00,93.32185262561694,94.55574637061756,93.20339611490456,94.13128662109375,117100,0.0,0.0,0.0
2023-01-24 00:00:00-05:00,93.77593311313329,94.13129514636503,93.61799108454565,94.03258514404297,150500,0.0,0.0,0.0
2023-01-25 00:00:00-05:00,93.28237806643115,94.18065643310547,92.48281723581074,94.18065643310547,134000,0.0,0.0,0.0
2023-01-26 00:00:00-05:00,94.28922186243128,94.74330139160156,93.94373311727111,94.74330139160156,172100,0.0,0.0,0.0
2023-01-27 00:00:00-05:00,94.59524522762494,95.34544730810217,94.5162742093355,94.86176300048828,144900,0.0,0.0,0.0
2023-01-30 00:00:00-05:00,94.46690636067486,94.87162714219137,94.15102984896762,94.1707763671875,97800,0.0,0.0,0.0
2023-01-31 00:00:00-05:00,94.48666453827722,94.95060986952271,94.29911024749516,94.9209976196289,121300,0.0,0.0,0.0
2023-02-01 00:00:00-05:00,94.6939507890296,96.38191668748902,94.53600875986615,95.79952239990234,156300,0.0,0.0,0.0
2023-02-02 00:00:00-05:00,96.88535199767641,97.73427161618665,96.69779771209437,97.42826080322266,168700,0.0,0.0,0.0
2023-02-03 00:00:00-05:00,97.00379183847465,98.06000463189682,96.7668863371614,97.09263610839844,232600,0.0,0.0,0.0
2023-02-06 00:00:00-05:00,96.7372817993164,97.08277058523869,96.56947403630998,96.7372817993164,147700,0.0,0.0,0.0
2023-02-07 00:00:00-05:00,96.77676442385132,97.9810460398269,96.29308013797426,97.74413299560547,229200,0.0,0.0,0.0
2023-02-08 00:00:00-05:00,97.42825758731072,97.67503636289266,96.83599003213219,97.02354431152344,168000,0.0,0.0,0.0
2023-02-09 00:00:00-05:00,97.50722794897034,97.50722794897034,95.97720406927867,96.23384857177734,173500,0.0,0.0,0.0
2023-02-10 00:00:00-05:00,95.66133364806603,95.72055814764109,95.12829055861746,95.6317138671875,184200,0.0,0.0,0.0
