Shares_Owned,Dollar_Amount,Date,Stock_Price,Amount_Invested
0.4314138366719456,500.0,2004-02-01,1158.97998046875,500
0.86125145124109,1001.8335088058558,2004-03-01,1163.22998046875,1000
1.2990483789807912,1494.6460236308226,2004-04-01,1150.5699462890625,1500
1.7424129881369197,1964.988806225778,2004-05-01,1127.739990234375,2000
2.178583770721651,2497.3976452657453,2004-06-01,1146.3399658203125,2500
2.6250270258133086,2994.7357424062516,2004-07-01,1140.8399658203125,3000
3.0756073514918,3412.9401309971745,2004-08-01,1109.6800537109375,3500
3.5174830100979757,3980.1728626479435,2004-09-01,1131.5400390625,4000
3.9684827554168387,4532.205924597372,2004-10-01,1142.050048828125,4500
4.389195287966595,5216.382860483839,2004-11-01,1188.4599609375,5000
4.799930271947831,5843.0989070158175,2004-12-01,1217.3299560546875,5500
5.228506443340293,6367.275401997975,2005-01-01,1217.800048828125,6000
5.640898004294705,6839.250045805705,2005-02-01,1212.43994140625,6500
6.047696424256272,7433.284063428324,2005-03-01,1229.1099853515625,7000
6.489880603456082,7735.158925336105,2005-04-01,1191.8800048828125,7500
6.906700083579613,8285.001556948218,2005-05-01,1199.56005859375,8000
7.316673938738132,8923.34211886401,2005-06-01,1219.5899658203125,8500
7.745669503350357,9644.520571199957,2005-07-01,1245.1500244140625,9000
8.14699871038714,10150.01969398212,2005-08-01,1245.8599853515625,9500
8.549209257985606,10627.778546623831,2005-09-01,1243.1300048828125,10000
8.986672017974717,11083.621759487296,2005-10-01,1233.3399658203125,10500
9.380174500373982,11918.825064560097,2005-11-01,1270.6400146484375,11000
9.772085443204931,12467.22708559346,2005-12-01,1275.800048828125,11500
10.194860959441332,13201.325705278554,2006-01-01,1294.9000244140625,12000
10.58019664129028,13728.545187566748,2006-02-01,1297.5699462890625,12500
10.96161980598696,14369.36822479572,2006-03-01,1310.8800048828125,13000
11.382042493595483,15003.353522392477,2006-04-01,1318.1600341796875,13500
11.758917460356693,15600.555220489334,2006-05-01,1326.699951171875,14000
12.146310136459814,15677.000219315658,2006-06-01,1290.6800537109375,14500
12.582355654284406,16110.70037979439,2006-07-01,1280.4200439453125,15000
12.964987244146686,16941.867304805037,2006-08-01,1306.739990234375,15500
13.338043612271715,17876.71348341853,2006-09-01,1340.280029296875,16000
13.747915907197795,19102.04108597102,2006-10-01,1389.449951171875,16500
14.103057285286804,19855.55352797019,2006-11-01,1407.8900146484375,17000
14.452265615678806,20692.89927799751,2006-12-01,1431.81005859375,17500
14.853296057309278,21412.659911600047,2007-01-01,1441.6099853515625,18000
15.195393950926688,22209.131120697064,2007-02-01,1461.5699462890625,18500
15.542884026547348,22364.50062463768,2007-03-01,1438.8900146484375,19000
15.934943752196144,23870.864750894238,2007-04-01,1498.02001953125,19500
16.260557847979474,24969.063161810423,2007-05-01,1535.56005859375,20000
16.58511513947281,25550.36595105032,2007-06-01,1540.56005859375,20500
16.96866672991886,26401.54897935484,2007-07-01,1555.9000244140625,21000
17.301137851563272,26019.008457022126,2007-08-01,1503.8900146484375,21500
17.626079039270913,27121.952688758047,2007-09-01,1538.739990234375,22000
18.00941760925547,28384.462384215185,2007-10-01,1576.0899658203125,22500
18.332876803172415,28338.778349703887,2007-11-01,1545.7900390625,23000
18.661053399998732,28431.420126333396,2007-12-01,1523.5699462890625,23500
19.07075934112686,28067.771847966047,2008-01-01,1471.77001953125,24000
19.428920393980448,27123.161827875687,2008-02-01,1396.02001953125,24500
19.7966539638268,26917.115524832865,2008-03-01,1359.6800537109375,25000
20.2268722637958,28410.056889155396,2008-04-01,1404.5699462890625,25500
