month,total_remaining,interest_paid
0,20000,0
1,19429,250
2,18855,506
3,18277,768
4,18578,1036
5,18002,1311
6,17419,1593
7,16829,1881
8,16926,2176
9,16329,2478
10,15721,2788
11,15101,3105
12,14470,3430
13,13827,3763
14,13172,4104
15,13313,4453
16,12646,4786
17,11962,5102
18,11261,5401
19,10543,5683
20,9807,5947
21,9052,6192
22,8278,6418
23,7485,6625
24,6672,6812
25,5839,6979
26,4985,7125
27,4110,7250
28,3213,7353
29,2293,7433
30,1350,7490
31,384,7524
32,0,7534
