Shares_Owned,Dollar_Amount,Date,Stock_Price,Amount_Invested
1.0368496124439166,499.99999999999994,1994-02-01,482.2300109863281,500
2.098217936727699,988.4494801291481,1994-03-01,471.0899963378906,1000
3.2103509033072077,1453.6148129406683,1994-04-01,452.7900085449219,1500
4.302602496901883,1969.6022977369719,1994-05-01,457.7699890136719,2000
5.381979886409483,2493.094601909662,1994-06-01,463.2300109863281,2500
6.490704349641245,2981.3751417652593,1994-07-01,459.3299865722656,3000
7.537627450698526,3599.8954665754927,1994-08-01,477.5899963378906,3500
8.589174297675354,4084.0664029229993,1994-09-01,475.489990234375,4000
9.674591794743286,4592.915614157992,1994-10-01,474.739990234375,4500
10.733330603155503,5068.9228154638995,1994-11-01,472.260009765625,5000
11.813874307105522,5466.634187918037,1994-12-01,462.7300109863281,5500
12.918936721743425,6089.469823918744,1995-01-01,471.3599853515625,6000
13.941034470071568,6819.814686450039,1995-02-01,489.19000244140625,6500
14.924995910602167,7584.136580877545,1995-03-01,508.1499938964844,7000
15.951292075103854,8219.540942888008,1995-04-01,515.2899780273438,7500
16.88865737604194,9008.57827740172,1995-05-01,533.4099731445312,8000
17.79598311207284,9806.832543911652,1995-06-01,551.0700073242188,8500
18.747047688661613,10599.58122086087,1995-07-01,565.4000244140625,9000
19.63103341108362,11103.705022122462,1995-08-01,565.6199951171875,9500
20.481937943791408,12035.391255122882,1995-09-01,587.6099853515625,10000
21.40525593253365,12643.227894262143,1995-10-01,590.6599731445312,10500
22.226692128289354,13529.165285832833,1995-11-01,608.6900024414062,11000
23.029414957855973,14344.562101397643,1995-12-01,622.8800048828125,11500
23.90171635885253,15205.793738113403,1996-01-01,636.1799926757812,12000
24.654467687010207,16376.236590210217,1996-02-01,664.22998046875,12500
25.415537480603472,16697.244914036237,1996-03-01,656.969970703125,13000
26.2722516144275,17252.461997738534,1996-04-01,656.6799926757812,13500
27.006358233018787,18394.029933174177,1996-05-01,681.0999755859375,14000
27.74130648474897,18872.965830887817,1996-06-01,680.3200073242188,14500
28.58511267037176,19320.10609122661,1996-07-01,675.8800048828125,15000
29.330624696166915,19671.463156401314,1996-08-01,670.6799926757812,15500
30.054339373775527,20763.94213330374,1996-09-01,690.8800048828125,16000
30.867225217697722,22042.28477436358,1996-10-01,714.0999755859375,16500
31.52328988363411,24024.529532192915,1996-11-01,762.1199951171875,17000
32.17967321149758,24512.866068858282,1996-12-01,761.75,17500
32.92953899121617,26168.116187389078,1997-01-01,794.6699829101562,18000
33.541025152646874,27425.82520115449,1997-02-01,817.6799926757812,18500
34.1545973517145,27832.58221576462,1997-03-01,814.9000244140625,19000
34.90446709708595,28067.729297211692,1997-04-01,804.1300048828125,19500
35.49141111772987,30234.06821556264,1997-05-01,851.8699951171875,20000
36.04567952234012,32516.448008331423,1997-06-01,902.0900268554688,20500
36.70291863736223,35151.48554970705,1997-07-01,957.72998046875,21000
37.22149939476234,35887.8524353384,1997-08-01,964.1699829101562,21500
37.742012814661955,36254.60110321557,1997-09-01,960.5900268554688,22000
38.392130278580034,37744.07093201603,1997-10-01,983.1199951171875,22500
38.910506730114776,37531.128791550436,1997-11-01,964.5499877929688,23000
39.417477579290946,38875.4872625757,1997-12-01,986.25,23500
40.068995319077516,39774.48918172925,1998-01-01,992.6500244140625,24000
40.54443413366555,42638.9609868068,1998-02-01,1051.6600341796875,24500
40.993642201556504,45628.79112347955,1998-03-01,1113.0699462890625,25000
41.588682424155415,47119.14460064065,1998-04-01,1132.97998046875,25500
42.030956768140335,47516.838066435135,1998-05-01,1130.52001953125,26000
42.46758078188547,48631.75116918232,1998-06-01,1145.1500244140625,26500
43.04679760451208,51250.654400275016,1998-07-01,1190.5799560546875,27000
43.4925138103877,48789.468766281134,1998-08-01,1121.7900390625,27500
43.96150857347035,46867.80326129506,1998-09-01,1066.1099853515625,28000
44.5793530388334,49205.79960323927,1998-10-01,1103.780029296875,28500
44.998475072312004,53681.829488701354,1998-11-01,1192.969970703125,29000
45.400104062237645,56519.953988683665,1998-12-01,1244.9300537109375,29500
45.9608665715513,58846.91450779884,1999-01-01,1280.3699951171875,30000
46.35032321202948,59506.39736829237,1999-02-01,1283.8399658203125,30500
46.72801808012812,61859.48238502955,1999-03-01,1323.8199462890625,31000
47.26779652980015,64830.62177801015,1999-04-01,1371.56005859375,31500
47.631173909629226,65539.54174587526,1999-05-01,1375.97998046875,32000
