Shares_Owned,Dollar_Amount,Date,Stock_Price,Amount_Invested
0.8628276733438912,1000.0,2004-02-01,1158.97998046875,1000
1.72250290248218,2003.6670176117116,2004-03-01,1163.22998046875,2000
2.591637372077274,2981.8600719916763,2004-04-01,1150.5699462890625,3000
3.4783665903895313,3922.693104677466,2004-05-01,1127.739990234375,4000
4.350708155558994,4987.3906383376525,2004-06-01,1146.3399658203125,5000
5.2272552874618965,5963.4617434820775,2004-07-01,1140.8399658203125,6000
6.128415938818879,6800.580928151499,2004-08-01,1109.6800537109375,7000
7.012167256031231,7934.548010802362,2004-09-01,1131.5400390625,8000
7.887785624093222,9008.245957141446,2004-10-01,1142.050048828125,9000
8.729210689192733,10374.317394693204,2004-11-01,1188.4599609375,10000
9.550680657155205,11626.329664667099,2004-12-01,1217.3299560546875,11000
10.37183352290052,12630.819370625437,2005-01-01,1217.800048828125,12000
11.196616644809344,13575.225228780884,2005-02-01,1212.43994140625,13000
12.010213484732478,14761.873320288674,2005-03-01,1229.1099853515625,14000
12.849224119950176,15314.733306826567,2005-04-01,1191.8800048828125,15000
13.682863080197238,16413.416038211657,2005-05-01,1199.56005859375,16000
14.502810790514276,17687.482516301767,2005-06-01,1219.5899658203125,17000
15.30592686519819,19058.17520988138,2005-07-01,1245.1500244140625,18000
16.108585279271754,20069.0418200679,2005-08-01,1245.8599853515625,19000
16.913006374468686,21025.065696876296,2005-09-01,1243.1300048828125,20000
17.72381282501202,21859.48670380594,2005-10-01,1233.3399658203125,21000
18.510817789810552,23520.585787599437,2005-11-01,1270.6400146484375,22000
19.29463967547245,24616.10224008883,2005-12-01,1275.800048828125,23000
20.066900067121214,25984.629386829813,2006-01-01,1294.9000244140625,24000
20.83757143081911,27038.206442282455,2006-02-01,1297.5699462890625,25000
21.60041776021247,28315.55573897811,2006-03-01,1310.8800048828125,26000
22.359050986884615,29472.807413097198,2006-04-01,1318.1600341796875,27000
23.112800920407036,30663.75185254928,2006-05-01,1326.699951171875,28000
23.887586272613277,30831.231133361158,2006-06-01,1290.6800537109375,29000
24.668579982239013,31586.144264926934,2006-07-01,1280.4200439453125,30000
25.433843161963573,33235.419965086905,2006-08-01,1306.739990234375,31000
26.17995589821363,35088.47205824866,2006-09-01,1340.280029296875,32000
26.899665160973754,37375.73844445477,2006-10-01,1389.449951171875,33000
27.60994791715177,38871.769977521406,2006-11-01,1407.8900146484375,34000
28.308364577935777,40532.20114502746,2006-12-01,1431.81005859375,35000
29.002033469079127,41809.62104452468,2007-01-01,1441.6099853515625,36000
29.686229256313947,43388.500499675574,2007-02-01,1461.5699462890625,37000
30.381209407555268,43715.21884947445,2007-03-01,1438.8900146484375,38000
31.048757228653756,46511.659910088936,2007-04-01,1498.02001953125,39000
31.699985420220415,48677.23146929468,2007-05-01,1535.56005859375,40000
32.349100003207084,49835.731396395786,2007-06-01,1540.56005859375,41000
